genre,genre_sales
Action,19.57%
Adventure,2.66%
Fighting,5.02%
Misc,9.00%
Platform,9.28%
Puzzle,2.72%
Racing,8.17%
Role-Playing,10.47%
Shooter,11.80%
Simulation,4.38%
Sports,14.93%
Strategy,1.96%
